Sort,Section,Topic,Utterances
202,Shipping,multiple addresses,Are there any restrictions/minimums to the number of addresses?
203,Shipping,multiple addresses,How many shipping addresses can be included in an order?
204,Shipping,multiple addresses,What if I need to get my items in different places?
207,Shipping,free shipping ,Do you do free shipping?
208,Shipping,free shipping ,What is the criteria used to get free shipping?
209,Shipping,free shipping ,Can I get free shipping on my first order?
210,Shipping,free shipping ,free shipping policy
211,Shipping,free shipping ,What items qualify for free delivery?
212,Shipping,free shipping ,Who is entitled for chargeless freighting?
213,Shipping,free shipping ,Where can my items be delivered at no cost?
214,Shipping,free shipping ,Can I get my products without cost?
215,Shipping,free shipping ,Do I qualify for complimentary shipping
216,Shipping,free shipping ,Where can my items be transported for free?
219,Shipping,international shipping,What are my international shipping options?
220,Shipping,international shipping,Which shipping carriers do you use for international shipping?
221,Shipping,international shipping,What is your return policy for international orders?
222,Shipping,international shipping,Can I purchase or redeem gift certificates during international checkout?
223,Shipping,international shipping,How much duty and taxes are charged on international orders?
224,Shipping,international shipping,Do you ship large items internationally?
225,Shipping,international shipping,How do I know if you ships to my country?
226,Shipping,international shipping,How much will shipping cost to other countries?
227,Shipping,international shipping,Are there any items that cannot ship to my country because they are restricted?
228,Shipping,international shipping,How you send my order to Europe?
232,Payment,payment methods,What payment methods do you accept?
233,Payment,payment methods,Do you charge differently for differnet payment methods?
234,Payment,payment methods,Do you accept international credit cards?
235,Payment,payment methods,Can I pay in installments?
236,Payment,payment methods,How can I pay?
237,Payment,payment methods,Do you take checks?
238,Payment,payment methods,Can I pay via electronic wire?
239,Payment,payment methods,"My credit card was charged, but my order didn't go through."
240,Payment,payment methods,Do you offer buy now pay later?
241,Payment,payment methods,Do you offer after pay services?
244,Payment,refunds,Do you refund to Paypal?
245,Payment,refunds,How do I qualify for a refund?
246,Payment,refunds,Is a refund guaranteed?
247,Payment,refunds,What conditions must be met to get a refund?
248,Payment,refunds,What are the timelines for requesting for a refund once an order is made?
249,Payment,refunds,Is a refund immediate?
250,Payment,refunds,I requested for a refund 2 days ago and I am yet to receive it.
251,Payment,refunds,How can I lodge my complaint incase of  a failed refund?
252,Payment,refunds,How long does it take to get my money back?
253,Payment,refunds,When will I receive my payment back?
256,Payment,rebates,What is a rebate?
257,Payment,rebates,How do I qualify for a rebate?
258,Payment,rebates,Is a rebate similar to a refund?
259,Payment,rebates,Is a rebate similar to a discount?
260,Payment,rebates,Is a rebate automatic in every transaction?
261,Payment,rebates,Is a rebate guaranteed?
262,Payment,rebates,How do I qualify for a rebate?
263,Payment,rebates,How can I get a price adjustment?
264,Payment,rebates,How long does it take to get a partial refund?
265,Payment,rebates,What are the terms to access a deduction?
268,Payment,promo codes,What do I do if my promo code does not work?
269,Payment,promo codes,Can I use more than two promo codes in one transaction?
270,Payment,promo codes,Can I place a successful order using a promocode only?
271,Payment,promo codes,What can I do when a promo code gets rejected?
272,Payment,promo codes,How do I get a promotional code?
273,Payment,promo codes,Can I combine points & coupons?
274,Payment,promo codes,How can I use coupons
275,Payment,promo codes,Do my promotional points expire?
276,Payment,promo codes,Do you have a price matching offer?
277,Payment,promo codes,Do you match prices if an item goes on sale after my purchase?
280,Payment,store credit,Can I use a store credit to order?
281,Payment,store credit,Is a store credit transferrable?
282,Payment,store credit,How I acquire my store credit?
283,Payment,store credit,How do I use my store credit?
284,Payment,store credit,How do I check my account's available store credit?
285,Payment,store credit,What are the terms of use of a store credit?
286,Payment,store credit,What happens to unused store credit in my account after I place my order?
287,Payment,store credit,Can I return an item bought using store credit?
288,Payment,store credit,Can I use my store credit in-store?
289,Payment,store credit,How long does a store credit last before expiry?
292,Payment,paypal,Can I use paypal to place an order?
293,Payment,paypal,Can I get a refund via paypal?
294,Payment,paypal,Is it secure to pay for an order via pay pal?
295,Payment,paypal,what is the ceiling of how much I can pay using  paypal?
296,Payment,paypal,Do I still get to collect reward points on my paypal account?
297,Payment,paypal,Is the returns policy factored in when paypal is used?
298,Payment,paypal,How much does it cost to use Paypal?
299,Payment,paypal,In which transactions can I use pay pal?
300,Payment,paypal,What can I do if my payment via paypau is rejected?
301,Payment,paypal,How efficient is the use of paupal?
304,Payment,gift cards,Can I redeem a gift card?
305,Payment,gift cards,Which gift cards are accepted here?
306,Payment,gift cards,How do I check the balance on my gift card?
307,Payment,gift cards,I have lost my gift card. What do I do?
308,Payment,gift cards,Can I return a product I bought using a gift card?
309,Payment,gift cards,Can use my gift card in more than one transaction?
310,Payment,gift cards,I want to buy a gift coupon. 
311,Payment,gift cards,what is the validity of a gift voucher?
312,Payment,gift cards,How many times can you use a gift card?
313,Payment,gift cards,Can a birthday card be exchanged for cash?
316,Payment,student deals,Which students are eligible for these deals?
317,Payment,student deals,How often do you have scholar deals?
318,Payment,student deals,Are the deals for all students?
319,Payment,student deals,What criteria is used to select students to benefit from special offers?
320,Payment,student deals,Do we have student promotions every day?
321,Payment,student deals,What is the lowest percentage discount accorded to a student?
322,Payment,student deals,What is the highest percentage discount that a student can get?
323,Payment,student deals,Can international students benefit from this?
324,Payment,student deals,Do I need to be a college student or live on campus to order?
325,Payment,student deals,Do I need to provide my postgraduate ID to get a discount?
328,Payment,veteran discount,Is the discount available for veteran's spouses?
329,Payment,veteran discount,What is the highest percentage discount a veteran can get?
330,Payment,veteran discount,What is the lowest percentage discount accorded to a veteran?
331,Payment,veteran discount,Who falls in the category of veterans?
332,Payment,veteran discount,"What is the frequency of veteran discounts? Daily,? weekly?"
333,Payment,veteran discount,Do you ship to APO's?
334,Payment,veteran discount,Do you offer a military discount?
335,Payment,veteran discount,I served in Marine-Corps. Am I eligible for the discount?
336,Payment,veteran discount,How do  I sign up to access the military discount?
337,Payment,veteran discount,"I served in the army, Do I get a discount in?"
341,Account,changing account information,My email address has changed. How do I update this information to my current account?
342,Account,changing account information,Can I share my account information?
343,Account,changing account information,I don’t remember my account information. What do I do?
344,Account,changing account information,How do I secure my account information?
345,Account,changing account information,How do I recover my username?
346,Account,changing account information,How do I change my email address?
347,Account,changing account information,How do I back up my username?
348,Account,changing account information,How do I delete my personal data?
349,Account,changing account information,How can I make changes to my subscription?
350,Account,changing account information,How do subscriptions work?
353,Account,password help,I forgot my password.
354,Account,password help,How do I backup my password?
355,Account,password help,How can I recover my password?
356,Account,password help,How do I backup my password?
357,Account,password help,Can I share my password with your staff?
358,Account,password help,should a password be confidential?
359,Account,password help,Can I use the same password on differeng services you offer?
360,Account,password help,What is included in a strong password?
361,Account,password help,Can I provide an alternative password for back up?
362,Account,password help,I forgot my pass code
